ip,cpf_acessado,tipo_requisicao,data_hora
10.0.0.6,10000000049,Consulta Pedido,2025-06-15 07:25:17
172.16.0.10,10000000007,Alteração Endereço,2025-06-13 14:41:18
192.168.0.2,10000000012,Alteração Endereço,2025-06-11 13:47:20
192.168.0.2,10000000031,Alteração Endereço,2025-06-12 21:42:29
172.16.0.10,10000000028,Consulta CPF,2025-06-10 06:11:40
10.0.0.5,10000000006,Consulta Pedido,2025-06-13 22:47:02
192.168.0.1,10000000031,Alteração Endereço,2025-06-08 20:04:58
10.0.0.5,10000000033,Consulta CPF,2025-06-13 19:46:31
203.0.113.1,10000000020,Alteração Endereço,2025-06-12 20:51:04
10.0.0.5,10000000037,Consulta Pedido,2025-06-12 11:22:48
203.0.113.1,10000000030,Alteração Endereço,2025-06-11 06:10:31
192.168.0.1,10000000016,Consulta CPF,2025-06-09 11:57:27
172.16.0.10,10000000006,Alteração Endereço,2025-06-12 11:40:50
203.0.113.1,10000000014,Alteração Endereço,2025-06-13 16:25:25
172.16.0.10,10000000043,Consulta CPF,2025-06-09 05:15:23
10.0.0.5,10000000015,Alteração Endereço,2025-06-11 16:14:15
10.0.0.5,10000000005,Consulta Pedido,2025-06-13 19:31:46
10.0.0.5,10000000013,Consulta CPF,2025-06-12 03:57:27
203.0.113.1,10000000024,Consulta Pedido,2025-06-12 03:29:30
192.168.0.2,10000000008,Consulta Pedido,2025-06-10 01:49:13
10.0.0.6,10000000034,Alteração Endereço,2025-06-11 08:48:32
10.0.0.5,10000000048,Alteração Endereço,2025-06-14 07:14:24
172.16.0.10,10000000017,Alteração Endereço,2025-06-09 11:33:07
203.0.113.1,10000000047,Alteração Endereço,2025-06-11 19:39:23
203.0.113.1,10000000009,Consulta CPF,2025-06-15 13:47:50
203.0.113.1,10000000016,Consulta Pedido,2025-06-13 09:44:03
192.168.0.1,10000000029,Consulta Pedido,2025-06-10 07:54:34
10.0.0.5,10000000019,Consulta CPF,2025-06-10 15:00:53
172.16.0.10,10000000034,Alteração Endereço,2025-06-09 02:51:04
10.0.0.5,10000000011,Alteração Endereço,2025-06-10 10:01:43
203.0.113.1,10000000030,Consulta CPF,2025-06-10 22:59:09
10.0.0.6,10000000007,Consulta CPF,2025-06-13 09:16:36
172.16.0.10,10000000047,Consulta CPF,2025-06-14 20:30:37
192.168.0.1,10000000007,Consulta CPF,2025-06-10 13:13:32
192.168.0.2,10000000039,Consulta Pedido,2025-06-12 11:16:29
10.0.0.6,10000000002,Alteração Endereço,2025-06-09 09:40:26
172.16.0.10,10000000004,Consulta CPF,2025-06-12 17:02:49
10.0.0.5,10000000035,Consulta Pedido,2025-06-14 23:36:05
172.16.0.10,10000000021,Consulta CPF,2025-06-12 10:42:38
192.168.0.1,10000000014,Alteração Endereço,2025-06-09 00:20:38
10.0.0.5,10000000002,Consulta CPF,2025-06-12 13:49:34
203.0.113.1,10000000018,Consulta Pedido,2025-06-09 20:35:18
192.168.0.2,10000000009,Consulta CPF,2025-06-14 21:47:21
172.16.0.10,10000000040,Alteração Endereço,2025-06-11 07:18:15
192.168.0.2,10000000003,Alteração Endereço,2025-06-13 23:05:01
172.16.0.10,10000000024,Consulta Pedido,2025-06-10 19:37:52
192.168.0.1,10000000008,Consulta CPF,2025-06-13 17:37:21
192.168.0.1,10000000034,Alteração Endereço,2025-06-09 13:51:22
10.0.0.5,10000000031,Consulta Pedido,2025-06-13 18:10:18
10.0.0.5,10000000042,Consulta Pedido,2025-06-10 11:20:19
172.16.0.10,10000000007,Alteração Endereço,2025-06-13 05:47:45
192.168.0.1,10000000005,Alteração Endereço,2025-06-11 09:31:56
10.0.0.5,10000000009,Consulta CPF,2025-06-14 19:13:14
192.168.0.1,10000000025,Consulta Pedido,2025-06-09 13:31:55
203.0.113.1,10000000008,Consulta Pedido,2025-06-13 19:13:31
10.0.0.5,10000000029,Alteração Endereço,2025-06-09 22:10:19
203.0.113.1,10000000046,Consulta CPF,2025-06-13 23:15:33
10.0.0.6,10000000031,Consulta Pedido,2025-06-12 10:22:09
192.168.0.2,10000000010,Consulta CPF,2025-06-15 01:25:59
10.0.0.6,10000000033,Alteração Endereço,2025-06-11 05:25:08
192.168.0.2,10000000012,Alteração Endereço,2025-06-09 22:26:38
192.168.0.1,10000000032,Consulta CPF,2025-06-10 06:59:43
10.0.0.5,10000000032,Alteração Endereço,2025-06-09 04:51:34
10.0.0.5,10000000025,Consulta CPF,2025-06-09 23:06:11
203.0.113.1,10000000034,Consulta CPF,2025-06-11 18:53:32
10.0.0.6,10000000046,Consulta Pedido,2025-06-11 04:38:33
203.0.113.1,10000000046,Consulta Pedido,2025-06-14 19:46:41
203.0.113.1,10000000004,Consulta CPF,2025-06-10 22:23:07
192.168.0.2,10000000024,Consulta Pedido,2025-06-13 00:41:47
172.16.0.10,10000000047,Consulta Pedido,2025-06-11 08:00:42
192.168.0.2,10000000004,Consulta CPF,2025-06-11 00:24:39
10.0.0.6,10000000003,Consulta CPF,2025-06-09 21:22:13
10.0.0.5,10000000023,Consulta CPF,2025-06-10 14:35:08
172.16.0.10,10000000043,Alteração Endereço,2025-06-14 14:03:40
192.168.0.2,10000000014,Consulta Pedido,2025-06-13 10:35:04
172.16.0.10,10000000008,Consulta CPF,2025-06-11 11:32:46
172.16.0.10,10000000039,Consulta CPF,2025-06-09 12:25:45
10.0.0.5,10000000024,Consulta Pedido,2025-06-11 08:03:40
10.0.0.6,10000000014,Consulta CPF,2025-06-09 00:26:30
192.168.0.2,10000000042,Alteração Endereço,2025-06-10 02:02:29
172.16.0.10,10000000006,Consulta Pedido,2025-06-13 12:46:56
192.168.0.1,10000000019,Alteração Endereço,2025-06-09 07:40:22
192.168.0.1,10000000023,Consulta CPF,2025-06-15 08:01:18
192.168.0.2,10000000049,Alteração Endereço,2025-06-13 13:31:36
203.0.113.1,10000000048,Consulta CPF,2025-06-11 23:34:21
10.0.0.6,10000000036,Consulta CPF,2025-06-10 00:20:28
192.168.0.2,10000000008,Alteração Endereço,2025-06-08 22:43:10
192.168.0.2,10000000008,Consulta CPF,2025-06-09 18:36:10
192.168.0.1,10000000017,Consulta CPF,2025-06-11 09:57:16
192.168.0.1,10000000002,Consulta CPF,2025-06-10 17:52:39
192.168.0.1,10000000026,Consulta Pedido,2025-06-15 13:21:21
192.168.0.1,10000000022,Consulta CPF,2025-06-09 19:39:14
172.16.0.10,10000000018,Consulta Pedido,2025-06-09 00:41:38
10.0.0.5,10000000026,Alteração Endereço,2025-06-09 05:34:01
172.16.0.10,10000000019,Consulta CPF,2025-06-08 20:43:00
10.0.0.5,10000000028,Consulta Pedido,2025-06-11 01:55:19
192.168.0.1,10000000026,Consulta CPF,2025-06-11 08:36:02
192.168.0.1,10000000030,Consulta Pedido,2025-06-14 00:19:12
192.168.0.1,10000000043,Consulta Pedido,2025-06-15 01:52:43
192.168.0.2,10000000011,Alteração Endereço,2025-06-10 04:37:32
10.0.0.6,10000000046,Consulta Pedido,2025-06-09 02:15:40
192.168.0.1,10000000017,Consulta CPF,2025-06-13 04:09:25
192.168.0.2,10000000031,Consulta Pedido,2025-06-13 13:35:42
10.0.0.6,10000000050,Alteração Endereço,2025-06-13 02:03:43
172.16.0.10,10000000017,Consulta CPF,2025-06-09 00:05:17
10.0.0.5,10000000049,Consulta CPF,2025-06-12 12:14:55
203.0.113.1,10000000037,Consulta Pedido,2025-06-08 23:05:14
192.168.0.2,10000000040,Consulta Pedido,2025-06-13 19:39:52
10.0.0.6,10000000046,Consulta Pedido,2025-06-12 07:18:19
10.0.0.6,10000000035,Alteração Endereço,2025-06-14 23:56:23
203.0.113.1,10000000019,Consulta Pedido,2025-06-14 02:30:41
10.0.0.5,10000000043,Alteração Endereço,2025-06-12 20:31:22
10.0.0.6,10000000007,Consulta Pedido,2025-06-15 07:55:01
203.0.113.1,10000000005,Consulta Pedido,2025-06-09 05:46:35
203.0.113.1,10000000025,Consulta Pedido,2025-06-15 03:40:15
192.168.0.2,10000000035,Consulta Pedido,2025-06-10 16:53:58
10.0.0.6,10000000046,Consulta Pedido,2025-06-10 12:00:46
192.168.0.2,10000000041,Consulta Pedido,2025-06-15 15:10:25
172.16.0.10,10000000005,Consulta CPF,2025-06-11 17:57:48
10.0.0.5,10000000043,Alteração Endereço,2025-06-12 22:46:42
10.0.0.5,10000000034,Consulta Pedido,2025-06-11 01:02:04
172.16.0.10,10000000037,Consulta CPF,2025-06-09 20:02:43
172.16.0.10,10000000016,Consulta CPF,2025-06-08 22:05:41
10.0.0.5,10000000015,Consulta CPF,2025-06-14 11:52:29
10.0.0.5,10000000026,Consulta Pedido,2025-06-14 01:23:04
10.0.0.6,10000000046,Consulta CPF,2025-06-15 04:20:57
203.0.113.1,10000000007,Consulta CPF,2025-06-12 03:11:02
10.0.0.6,10000000025,Consulta Pedido,2025-06-13 03:39:56
203.0.113.1,10000000001,Consulta Pedido,2025-06-13 22:04:53
10.0.0.6,10000000019,Alteração Endereço,2025-06-10 01:32:35
172.16.0.10,10000000014,Consulta CPF,2025-06-10 20:12:25
10.0.0.6,10000000001,Consulta Pedido,2025-06-12 09:51:47
203.0.113.1,10000000010,Consulta CPF,2025-06-14 23:20:01
203.0.113.1,10000000010,Consulta CPF,2025-06-10 23:14:28
203.0.113.1,10000000037,Alteração Endereço,2025-06-08 19:54:26
172.16.0.10,10000000013,Alteração Endereço,2025-06-10 18:08:30
172.16.0.10,10000000018,Alteração Endereço,2025-06-11 01:28:41
172.16.0.10,10000000034,Alteração Endereço,2025-06-10 09:09:33
10.0.0.5,10000000008,Alteração Endereço,2025-06-12 19:34:20
172.16.0.10,10000000003,Alteração Endereço,2025-06-12 14:30:51
203.0.113.1,10000000037,Alteração Endereço,2025-06-10 14:29:50
10.0.0.5,10000000001,Consulta Pedido,2025-06-13 07:54:15
192.168.0.1,10000000001,Consulta Pedido,2025-06-14 04:52:30
10.0.0.6,10000000019,Consulta Pedido,2025-06-13 07:30:24
10.0.0.5,10000000003,Consulta CPF,2025-06-13 10:23:18
192.168.0.2,10000000007,Alteração Endereço,2025-06-13 21:38:00
192.168.0.1,10000000036,Consulta Pedido,2025-06-09 23:57:33
10.0.0.5,10000000017,Consulta Pedido,2025-06-09 03:55:12
10.0.0.5,10000000025,Consulta Pedido,2025-06-15 12:03:27
203.0.113.1,10000000017,Consulta CPF,2025-06-15 01:12:41
192.168.0.1,10000000033,Alteração Endereço,2025-06-12 17:21:09
172.16.0.10,10000000032,Consulta Pedido,2025-06-08 16:35:03
192.168.0.2,10000000044,Consulta Pedido,2025-06-14 08:39:34
10.0.0.6,10000000008,Consulta Pedido,2025-06-12 18:37:22
203.0.113.1,10000000012,Alteração Endereço,2025-06-13 04:26:15
10.0.0.5,10000000018,Consulta Pedido,2025-06-13 23:23:32
10.0.0.5,10000000013,Consulta Pedido,2025-06-15 03:31:47
10.0.0.6,10000000007,Consulta CPF,2025-06-09 00:22:56
10.0.0.5,10000000002,Alteração Endereço,2025-06-10 01:22:25
172.16.0.10,10000000044,Consulta CPF,2025-06-09 14:11:22
10.0.0.5,10000000023,Consulta CPF,2025-06-14 17:21:47
192.168.0.1,10000000017,Consulta CPF,2025-06-11 13:37:17
172.16.0.10,10000000049,Consulta CPF,2025-06-12 09:15:55
10.0.0.6,10000000010,Consulta Pedido,2025-06-11 23:20:51
10.0.0.5,10000000017,Consulta Pedido,2025-06-14 03:47:12
10.0.0.5,10000000012,Consulta Pedido,2025-06-12 15:40:20
192.168.0.1,10000000018,Consulta CPF,2025-06-11 07:48:37
192.168.0.1,10000000037,Consulta Pedido,2025-06-11 21:54:54
192.168.0.2,10000000036,Consulta Pedido,2025-06-15 10:19:59
10.0.0.6,10000000018,Consulta CPF,2025-06-12 08:56:27
10.0.0.6,10000000005,Consulta Pedido,2025-06-09 04:50:39
192.168.0.2,10000000021,Consulta Pedido,2025-06-14 23:14:30
10.0.0.5,10000000046,Consulta Pedido,2025-06-12 22:32:45
172.16.0.10,10000000009,Alteração Endereço,2025-06-14 00:56:46
172.16.0.10,10000000017,Consulta Pedido,2025-06-14 05:32:02
192.168.0.2,10000000018,Consulta CPF,2025-06-09 16:05:25
172.16.0.10,10000000020,Consulta CPF,2025-06-13 02:25:58
192.168.0.2,10000000037,Consulta CPF,2025-06-11 11:26:48
192.168.0.1,10000000008,Consulta Pedido,2025-06-13 13:16:19
192.168.0.1,10000000030,Consulta CPF,2025-06-15 02:19:42
203.0.113.1,10000000027,Consulta Pedido,2025-06-15 16:00:27
10.0.0.5,10000000011,Consulta CPF,2025-06-11 23:55:12
192.168.0.2,10000000004,Consulta CPF,2025-06-08 23:05:59
203.0.113.1,10000000004,Alteração Endereço,2025-06-09 18:00:36
203.0.113.1,10000000013,Alteração Endereço,2025-06-13 23:54:35
192.168.0.1,10000000021,Alteração Endereço,2025-06-11 23:05:39
192.168.0.2,10000000023,Alteração Endereço,2025-06-12 08:26:52
10.0.0.6,10000000018,Consulta Pedido,2025-06-15 12:29:28
10.0.0.5,10000000017,Consulta Pedido,2025-06-12 16:55:00
192.168.0.1,10000000002,Consulta CPF,2025-06-13 14:08:03
172.16.0.10,10000000026,Consulta Pedido,2025-06-12 14:14:51
192.168.0.2,10000000039,Consulta Pedido,2025-06-13 22:23:32
192.168.0.1,10000000005,Consulta CPF,2025-06-12 01:23:45
10.0.0.5,10000000031,Alteração Endereço,2025-06-12 13:17:31
192.168.0.1,10000000033,Consulta Pedido,2025-06-11 13:27:06
192.168.0.2,10000000034,Consulta Pedido,2025-06-14 14:16:22
172.16.0.10,10000000005,Consulta Pedido,2025-06-08 21:57:46
172.16.0.10,10000000040,Consulta CPF,2025-06-15 05:17:59
192.168.0.1,10000000029,Consulta Pedido,2025-06-08 22:31:19
192.168.0.1,10000000032,Consulta CPF,2025-06-10 18:17:41
192.168.0.1,10000000033,Alteração Endereço,2025-06-15 13:16:24
172.16.0.10,10000000003,Consulta CPF,2025-06-10 13:23:07
192.168.0.2,10000000004,Alteração Endereço,2025-06-14 04:08:49
192.168.0.1,10000000049,Consulta CPF,2025-06-13 00:13:48
172.16.0.10,10000000007,Consulta CPF,2025-06-10 02:31:37
10.0.0.6,10000000036,Alteração Endereço,2025-06-11 10:40:09
172.16.0.10,10000000021,Alteração Endereço,2025-06-08 23:08:47
10.0.0.5,10000000050,Consulta CPF,2025-06-15 09:55:09
192.168.0.1,10000000026,Consulta CPF,2025-06-10 17:34:35
192.168.0.2,10000000019,Alteração Endereço,2025-06-13 02:23:13
10.0.0.5,10000000003,Consulta CPF,2025-06-08 16:20:36
10.0.0.5,10000000006,Consulta Pedido,2025-06-10 02:23:45
192.168.0.1,10000000024,Consulta Pedido,2025-06-10 14:45:00
192.168.0.2,10000000043,Consulta Pedido,2025-06-11 13:02:49
192.168.0.2,10000000044,Alteração Endereço,2025-06-08 17:00:06
192.168.0.1,10000000037,Alteração Endereço,2025-06-14 04:23:28
10.0.0.5,10000000029,Alteração Endereço,2025-06-14 19:50:26
192.168.0.2,10000000050,Consulta CPF,2025-06-14 07:29:20
10.0.0.5,10000000005,Alteração Endereço,2025-06-13 12:04:52
203.0.113.1,10000000027,Consulta CPF,2025-06-12 01:00:47
203.0.113.1,10000000003,Consulta CPF,2025-06-13 00:42:03
192.168.0.1,10000000016,Alteração Endereço,2025-06-12 08:33:00
192.168.0.1,10000000017,Alteração Endereço,2025-06-11 09:25:10
192.168.0.1,10000000033,Consulta CPF,2025-06-14 00:19:07
10.0.0.6,10000000005,Consulta Pedido,2025-06-12 12:50:01
172.16.0.10,10000000001,Consulta CPF,2025-06-11 16:24:27
192.168.0.1,10000000019,Alteração Endereço,2025-06-14 19:40:58
10.0.0.5,10000000005,Consulta CPF,2025-06-09 11:47:28
192.168.0.1,10000000037,Alteração Endereço,2025-06-09 05:49:06
172.16.0.10,10000000034,Consulta CPF,2025-06-09 20:24:23
192.168.0.1,10000000043,Consulta CPF,2025-06-14 09:47:02
203.0.113.1,10000000010,Alteração Endereço,2025-06-12 09:18:40
10.0.0.6,10000000011,Consulta CPF,2025-06-10 20:16:13
10.0.0.6,10000000044,Consulta CPF,2025-06-14 12:01:23
192.168.0.1,10000000031,Consulta CPF,2025-06-11 23:34:26
172.16.0.10,10000000005,Alteração Endereço,2025-06-10 09:21:13
10.0.0.5,10000000037,Consulta CPF,2025-06-10 06:23:37
192.168.0.2,10000000039,Consulta CPF,2025-06-14 09:16:49
203.0.113.2,10000000008,Consulta Pedido,2025-06-13 00:48:34
203.0.113.2,10000000033,Alteração Endereço,2025-06-15 00:26:11
203.0.113.2,10000000005,Consulta Pedido,2025-06-15 10:35:18
203.0.113.2,10000000014,Consulta Pedido,2025-06-12 04:50:05
203.0.113.2,10000000044,Consulta CPF,2025-06-11 19:11:31
203.0.113.2,10000000044,Alteração Endereço,2025-06-14 08:35:14
203.0.113.2,10000000020,Consulta CPF,2025-06-12 18:21:50
203.0.113.2,10000000024,Alteração Endereço,2025-06-10 01:50:52
203.0.113.2,10000000005,Consulta Pedido,2025-06-09 13:49:04
203.0.113.2,10000000002,Consulta Pedido,2025-06-12 12:23:49
203.0.113.2,10000000025,Consulta CPF,2025-06-13 14:05:49
203.0.113.2,10000000003,Consulta Pedido,2025-06-15 04:08:20
203.0.113.2,10000000035,Alteração Endereço,2025-06-10 04:13:11
203.0.113.2,10000000018,Alteração Endereço,2025-06-14 16:38:38
203.0.113.2,10000000023,Alteração Endereço,2025-06-13 21:32:49
203.0.113.2,10000000027,Alteração Endereço,2025-06-11 08:37:56
203.0.113.2,10000000026,Consulta CPF,2025-06-09 08:16:13
203.0.113.2,10000000036,Alteração Endereço,2025-06-10 02:12:42
203.0.113.2,10000000048,Alteração Endereço,2025-06-11 07:48:09
203.0.113.2,10000000022,Consulta Pedido,2025-06-14 17:24:07
203.0.113.2,10000000042,Consulta Pedido,2025-06-14 03:09:49
203.0.113.2,10000000042,Consulta Pedido,2025-06-12 12:54:35
203.0.113.2,10000000034,Alteração Endereço,2025-06-13 10:22:49
203.0.113.2,10000000017,Consulta Pedido,2025-06-15 03:05:50
203.0.113.2,10000000042,Consulta Pedido,2025-06-11 05:28:44
203.0.113.2,10000000043,Consulta CPF,2025-06-09 20:00:02
203.0.113.2,10000000043,Consulta CPF,2025-06-13 14:02:23
203.0.113.2,10000000012,Alteração Endereço,2025-06-09 06:50:28
203.0.113.2,10000000017,Consulta Pedido,2025-06-12 13:37:28
203.0.113.2,10000000027,Alteração Endereço,2025-06-15 15:10:13
203.0.113.2,10000000010,Alteração Endereço,2025-06-12 19:01:26
203.0.113.2,10000000036,Alteração Endereço,2025-06-09 13:49:55
203.0.113.2,10000000029,Consulta Pedido,2025-06-08 18:29:34
203.0.113.2,10000000006,Alteração Endereço,2025-06-11 12:09:37
203.0.113.2,10000000047,Consulta Pedido,2025-06-10 17:25:08
203.0.113.2,10000000026,Consulta CPF,2025-06-10 00:28:24
203.0.113.2,10000000028,Consulta CPF,2025-06-11 12:29:58
203.0.113.2,10000000030,Alteração Endereço,2025-06-13 18:16:41
203.0.113.2,10000000010,Consulta CPF,2025-06-10 21:36:34
203.0.113.2,10000000025,Consulta CPF,2025-06-14 05:51:18
203.0.113.2,10000000018,Alteração Endereço,2025-06-13 13:13:13
203.0.113.2,10000000044,Consulta Pedido,2025-06-14 22:28:55
203.0.113.2,10000000020,Consulta CPF,2025-06-09 19:09:35
203.0.113.2,10000000041,Consulta Pedido,2025-06-12 14:53:24
203.0.113.2,10000000025,Alteração Endereço,2025-06-09 14:21:09
203.0.113.2,10000000030,Consulta CPF,2025-06-11 02:48:33
203.0.113.2,10000000028,Consulta CPF,2025-06-12 05:28:01
203.0.113.2,10000000025,Consulta CPF,2025-06-14 13:26:03
203.0.113.2,10000000046,Consulta Pedido,2025-06-12 04:00:30
203.0.113.2,10000000046,Consulta CPF,2025-06-09 03:59:27
